Forced Deadlock;None;None;Software;Use known algorithm to avoid deadlock condition (for instance non-blocking synchronization algorithms)., For competing actions, use well-known libraries which implement synchronization.;Unrestricted Externally Accessible Lock, Unsynchronized Access to Shared Data in a Multithreaded Context, Improper Synchronization, Improper Locking, Deadlock, Use of Blocking Code in Single-threaded, Non-blocking Context
Leveraging Race Conditions;Leveraging Time-of-Check and Time-of-Use (TOCTOU) Race Conditions;None;Software, Hardware;Use safe libraries to access resources such as files., Be aware that improper use of access function calls such as chown(), tempfile(), chmod(), etc. can cause a race condition., Use synchronization to control the flow of execution., Use static analysis tools to find race conditions., Pay attention to concurrency problems related to the access of resources.;Context Switching Race Condition, Race Condition Enabling Link Following, Race Condition within a Thread, Missing Check for Certificate Revocation after Initial Check, Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'), Improper Synchronization, Permission Race Condition During Resource Copy, Improper Locking, Improper Initialization, Race Condition for Write-Once Attributes
Manipulating State;Bypassing of Intermediate Forms in Multiple-Form Sets;None;Software, Hardware;Do not rely solely on user-controllable locations, such as cookies or URL parameters, to maintain user state., Avoid sensitive information, such as usernames or authentication and authorization information in user-controllable locations., Sensitive information that is part of the user state must be appropriately protected to ensure confidentiality and integrity at each request., All possible states must be handled by hardware finite state machines.;Incomplete Internal State Distinction, State Issues, Cleartext Storage of Sensitive Information in a Cookie, Missing Support for Integrity Check, Protection Mechanism Failure, Improper Finite State Machines (FSMs) in Hardware Logic, Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls, Unitialized Value on Reset for Registers Holding Security Settings
Interface Manipulation;Using Unpublished Interfaces, Exploit Non-Production Interfaces, Try All Common Switches, Exploit Script-Based APIs;None;Software, Hardware;None;7PK - API Abuse, System-on-Chip (SoC) Using Components without Unique - Immutable Identifiers
Flooding;TCP Flood, UDP Flood, ICMP Flood, HTTP Flood, SSL Flood, Amplification, XML Flood;None;Software, Communications;Ensure that protocols have specific limits of scale configured., Specify expectations for capabilities and dictate which behaviors are acceptable when resource allocation reaches limits., Uniformly throttle all requests in order to make it more difficult to consume resources more quickly than they can again be freed.;Improper Resource Shutdown or Release, Allocation of Resources Without Limits or Throttling
Excessive Allocation;XML Nested Payloads, Oversized Serialized Data Payloads, Regular Expression Exponential Blowup, SOAP Array Blowup, TCP Fragmentation, UDP Fragmentation, ICMP Fragmentation;None;Software, Communications;Limit the amount of resources that are accessible to unprivileged users., Assume all input is malicious. Consider all potentially relevant properties when validating input., Consider uniformly throttling all requests in order to make it more difficult to consume resources more quickly than they can again be freed., Use resource-limiting settings, if possible.;Improper Resource Shutdown or Release, Allocation of Resources Without Limits or Throttling, Improperly Controlled Sequential Memory Allocation
Resource Leak Exposure;None;None;Software;If possible leverage coding language(s) that do not allow this weakness to occur (e.g. Java and Ruby and Python all perform automatic garbage collection that releases memory for objects that have been deallocated)., Memory should always be allocated/freed using matching functions (e.g. malloc/free or new/delete and etc.), Implement best practices with respect to memory management including the freeing of all allocated resources at all exit points and ensuring consistency with how and where memory is freed in a function.;Improper Resource Shutdown or Release
Functionality Misuse;Inducing Account Lockout, Passing Local Filenames to Functions That Expect a URL, Password Recovery Exploitation, JSON Hijacking (aka JavaScript Hijacking), Drop Encryption Level;None;Software, Hardware;Perform comprehensive threat modeling and a process of identifying and evaluating and mitigating potential threats to the application. This effort can help reveal potentially obscure application functionality that can be manipulated for malicious purposes., When implementing security features, consider how they can be misused and compromised.;Inclusion of Undocumented Features or Chicken Bits, Sequence of Processor Instructions Leads to Unexpected Behavior (Halt and Catch Fire)
Communication Channel Manipulation;Choosing Message Identifier, Exploiting Incorrectly Configured SSL;None;Communications;Encrypt all sensitive communications using properly-configured cryptography., Design the communication system such that it associates proper authentication/authorization with each channel/message.;None
Sustained Client Engagement;HTTP DoS;None;Software;Potential mitigations include requiring a unique login for each resource request constraining local unprivileged access by disallowing simultaneous engagements of the resource or limiting access to the resource to one access per IP address. In such scenarios the adversary would have to increase engagements either by launching multiple sessions manually or programmatically to counter such defenses.;None
Protocol Manipulation;Reflection Attack in Authentication Protocol, Client-Server Protocol Manipulation, Inter-component Protocol Manipulation, Data Interchange Protocol Manipulation, Web Services Protocol Manipulation;None;Software, Communications;None;None
Functionality Bypass;Calling Micro-Services Directly, Evercookie, Transparent Proxy Abuse;None;Software;None;Improper Protection of Alternate Path
